,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
103,AR-503,Arkansas,arkansasbalanceofstate,boone,814,none,4860,13,480,3,2849,8849,,,,,,
104,AR-503,Arkansas,arkansasbalanceofstate,bradley,814,none,2011,19,195,4,1151,3111,,,,,,
105,AR-503,Arkansas,arkansasbalanceofstate,calhoun,814,none,672,14,81,3,543,1490,,,,,,
106,AR-503,Arkansas,arkansasbalanceofstate,carroll,814,none,4717,16,438,3,2948,7009,,,,,,
107,AR-503,Arkansas,arkansasbalanceofstate,chicot,814,none,2594,27,259,8,1537,2725,,,,,,
108,AR-503,Arkansas,arkansasbalanceofstate,clark,814,none,3699,20,421,4,1193,4037,,,,,,
109,AR-503,Arkansas,arkansasbalanceofstate,clay,814,none,2543,17,217,4,1625,4430,,,,,,
110,AR-503,Arkansas,arkansasbalanceofstate,cleburne,814,none,4109,16,421,4,2176,7850,,,,,,
111,AR-503,Arkansas,arkansasbalanceofstate,cleveland,814,none,1054,14,126,4,514,2584,,,,,,
112,AR-503,Arkansas,arkansasbalanceofstate,columbia,814,none,4777,23,473,5,1824,5590,,,,,,
113,AR-503,Arkansas,arkansasbalanceofstate,conway,814,none,3494,16,349,4,1706,5896,,,,,,
114,AR-503,Arkansas,arkansasbalanceofstate,craighead,814,1026.2824156439135,19674,18,1853,3,7292,23151,,,,,,
115,AR-503,Arkansas,arkansasbalanceofstate,crawford,814,nan,8790,14,942,3,6161,13947,,,,,,
116,AR-503,Arkansas,arkansasbalanceofstate,crittenden,814,none,10706,23,1114,5,4784,10940,,,,,,
117,AR-503,Arkansas,arkansasbalanceofstate,cross,814,none,2738,16,309,4,2138,4907,,,,,,
118,AR-503,Arkansas,arkansasbalanceofstate,dallas,814,none,1213,20,115,4,571,2108,,,,,,
119,AR-503,Arkansas,arkansasbalanceofstate,desha,814,none,3032,27,295,6,1477,3415,,,,,,
120,AR-503,Arkansas,arkansasbalanceofstate,drew,814,none,2715,16,381,5,1456,4090,,,,,,
121,AR-503,Arkansas,arkansasbalanceofstate,faulkner,814,1082.3072221193886,16486,13,2156,3,5268,23020,,,,,,
122,AR-503,Arkansas,arkansasbalanceofstate,franklin,814,none,2908,17,274,3,1596,4911,,,,,,
123,AR-503,Arkansas,arkansasbalanceofstate,fulton,814,none,2157,18,183,3,1224,3229,,,,,,
124,AR-503,Arkansas,arkansasbalanceofstate,garland,814,nan,14319,14,2043,4,6955,23014,,,,,,
125,AR-503,Arkansas,arkansasbalanceofstate,grant,814,none,2017,11,267,3,1055,5351,,,,,,
126,AR-503,Arkansas,arkansasbalanceofstate,greene,814,none,5898,12,678,3,3485,13628,,,,,,
127,AR-503,Arkansas,arkansasbalanceofstate,hempstead,814,none,4125,21,327,3,2181,5182,,,,,,
128,AR-503,Arkansas,arkansasbalanceofstate,hotspring,814,none,5521,17,543,3,2699,9240,,,,,,
129,AR-503,Arkansas,arkansasbalanceofstate,howard,814,none,2245,17,182,3,1028,3596,,,,,,
130,AR-503,Arkansas,arkansasbalanceofstate,independence,814,nan,6924,18,644,3,3610,9405,,,,,,
131,AR-503,Arkansas,arkansasbalanceofstate,izard,814,none,2384,18,241,5,1838,3414,,,,,,
132,AR-503,Arkansas,arkansasbalanceofstate,jackson,814,none,3316,22,298,5,1980,5169,,,,,,
133,AR-503,Arkansas,arkansasbalanceofstate,jefferson,814,none,12258,20,1702,6,5383,19219,,,,,,
134,AR-503,Arkansas,arkansasbalanceofstate,johnson,814,none,4570,18,469,4,3377,6929,,,,,,
135,AR-503,Arkansas,arkansasbalanceofstate,lafayette,814,none,1448,23,135,5,864,2095,,,,,,
136,AR-503,Arkansas,arkansasbalanceofstate,lawrence,814,none,3193,20,290,4,1668,4271,,,,,,
137,AR-503,Arkansas,arkansasbalanceofstate,lee,814,none,2448,34,144,5,1141,2847,,,,,,
138,AR-503,Arkansas,arkansasbalanceofstate,lincoln,814,none,2160,22,173,4,1855,4753,,,,,,
139,AR-503,Arkansas,arkansasbalanceofstate,littleriver,814,none,1854,15,239,4,847,3656,,,,,,
140,AR-503,Arkansas,arkansasbalanceofstate,logan,814,none,3204,15,356,4,1853,6704,,,,,,
141,AR-503,Arkansas,arkansasbalanceofstate,lonoke,814,1110.8639511299357,8161,11,1128,3,4955,18597,,,,,,
142,AR-503,Arkansas,arkansasbalanceofstate,madison,814,none,2587,15,235,3,1734,5735,,,,,,
143,AR-503,Arkansas,arkansasbalanceofstate,marion,814,none,2986,17,264,4,1770,4682,,,,,,
144,AR-503,Arkansas,arkansasbalanceofstate,miller,814,nan,8483,20,926,4,3828,10586,,,,,,
145,AR-503,Arkansas,arkansasbalanceofstate,mississippi,814,none,9276,23,1153,7,4654,11058,,,,,,
146,AR-503,Arkansas,arkansasbalanceofstate,monroe,814,none,1667,25,141,5,1030,2007,,,,,,
147,AR-503,Arkansas,arkansasbalanceofstate,montgomery,814,none,1692,19,143,5,1030,2111,,,,,,
148,AR-503,Arkansas,arkansasbalanceofstate,nevada,814,none,1705,21,139,4,517,2937,,,,,,
149,AR-503,Arkansas,arkansasbalanceofstate,newton,814,none,1366,19,100,3,790,2026,,,,,,
150,AR-503,Arkansas,arkansasbalanceofstate,ouachita,814,none,4437,20,386,4,1995,6501,,,,,,
151,AR-503,Arkansas,arkansasbalanceofstate,perry,814,none,1500,15,171,4,617,3076,,,,,,
152,AR-503,Arkansas,arkansasbalanceofstate,phillips,814,none,5623,35,448,7,2010,3489,,,,,,
153,AR-503,Arkansas,arkansasbalanceofstate,pike,814,none,1844,18,187,4,865,2729,,,,,,
154,AR-503,Arkansas,arkansasbalanceofstate,poinsett,814,none,4948,22,383,3,2920,7067,,,,,,
155,AR-503,Arkansas,arkansasbalanceofstate,polk,814,none,3697,19,350,4,1569,5178,,,,,,
156,AR-503,Arkansas,arkansasbalanceofstate,pope,814,nan,10897,18,1103,4,6442,13836,,,,,,
157,AR-503,Arkansas,arkansasbalanceofstate,prairie,814,none,1257,15,132,3,793,2552,,,,,,
158,AR-503,Arkansas,arkansasbalanceofstate,randolph,814,none,3141,17,293,4,1821,4839,,,,,,
159,AR-503,Arkansas,arkansasbalanceofstate,st.francis,814,none,6108,32,472,6,2950,6559,,,,,,
160,AR-503,Arkansas,arkansasbalanceofstate,saline,814,1201.8767369790703,10572,8,1861,3,6952,26015,,,,,,
161,AR-503,Arkansas,arkansasbalanceofstate,scott,814,none,1681,17,143,3,1387,2827,,,,,,
162,AR-503,Arkansas,arkansasbalanceofstate,searcy,814,none,1633,20,126,4,1145,2282,,,,,,
163,AR-503,Arkansas,arkansasbalanceofstate,sevier,814,none,2854,18,241,4,2662,3474,,,,,,
164,AR-503,Arkansas,arkansasbalanceofstate,sharp,814,none,3181,18,281,5,2220,4873,,,,,,
165,AR-503,Arkansas,arkansasbalanceofstate,stone,814,none,2567,20,231,5,1394,3128,,,,,,
166,AR-503,Arkansas,arkansasbalanceofstate,union,814,none,6726,17,910,6,3664,10177,,,,,,
167,AR-503,Arkansas,arkansasbalanceofstate,vanburen,814,none,2659,17,286,4,1754,4857,,,,,,
168,AR-503,Arkansas,arkansasbalanceofstate,white,814,nan,12106,16,1374,4,7126,20258,,,,,,
169,AR-503,Arkansas,arkansasbalanceofstate,woodruff,814,none,1514,25,140,5,785,1929,,,,,,
170,AR-503,Arkansas,arkansasbalanceofstate,yell,814,none,2996,15,318,4,3135,5240,,,,,,
171,AR-508,Arkansas,fortsmith,sebastian,374,915.6884394659112,24574,19,2054,3,13214,25325,,,,,,
172,AZ-500,Arizona,arizonabalanceofstate,apache,2300,none,18422,28,1733,9,7549,13150,,,,,,
173,AZ-500,Arizona,arizonabalanceofstate,cochise,2300,nan,20618,17,2476,5,9897,21308,,,,,,
174,AZ-500,Arizona,arizonabalanceofstate,coconino,2300,1878.613230265972,22677,16,4426,6,7786,18341,,,,,,
175,AZ-500,Arizona,arizonabalanceofstate,gila,2300,nan,8900,16,1056,5,5131,11192,,,,,,
176,AZ-500,Arizona,arizonabalanceofstate,graham,2300,none,7385,20,677,4,3980,7123,,,,,,
177,AZ-500,Arizona,arizonabalanceofstate,greenlee,2300,none,886,9,181,4,710,1877,,,,,,
178,AZ-500,Arizona,arizonabalanceofstate,lapaz,2300,none,3303,20,461,5,2110,4476,,,,,,
179,AZ-500,Arizona,arizonabalanceofstate,mohave,2300,1426.1756796100417,38383,18,4987,5,20437,55859,,,,,,
180,AZ-500,Arizona,arizonabalanceofstate,navajo,2300,nan,26324,24,2619,6,10766,20551,,,,,,
181,AZ-500,Arizona,arizonabalanceofstate,pinal,2300,1699.3779930033277,45630,10,9473,4,36411,89200,,,,,,
182,AZ-500,Arizona,arizonabalanceofstate,santacruz,2300,none,9723,20,1668,8,6757,7913,,,,,,
183,AZ-500,Arizona,arizonabalanceofstate,yavapai,2300,1621.055519974143,29766,12,4546,4,15280,45486,,,,,,
184,AZ-500,Arizona,arizonabalanceofstate,yuma,2300,nan,34270,17,12236,13,32441,34441,,,,,,
185,AZ-501,Arizona,pima,pima,2227,1316.0260746023826,151169,14,24720,5,74468,149641,,,,,,
186,AZ-501,Arizona,tucson,pima,2227,1316.0260746023826,151169,14,24720,5,74468,149641,,,,,,
187,AZ-502,Arizona,maricopa,maricopa,9026,1632.3984622584692,502224,11,107123,4,326737,644940,,,,,,
188,AZ-502,Arizona,mesa,maricopa,9026,1632.3984622584692,502224,11,107123,4,326737,644940,,,,,,
189,AZ-502,Arizona,phoenix,maricopa,9026,1632.3984622584692,502224,11,107123,4,326737,644940,,,,,,
190,CA-500,California,santaclara,santaclara,10028,2990.161497169492,128955,6,48641,4,145904,184860,,,,,,
191,CA-500,California,sanjose,losangeles,10028,2458.354399687414,1365808,14,445871,8,1381447,1411475,,,,,,
192,CA-501,California,sanfrancisco,sanfrancisco,7754,3130.1641352097395,90898,11,none,none,77300,78359,,,,,,
193,CA-502,California,alameda,alameda,9747,2645.716410273375,152654,9,49494,6,131272,198825,,,,,,
194,CA-502,California,berkeley,alameda,9747,2645.716410273375,152654,9,49494,6,131272,198825,,,,,,
195,CA-502,California,oakland,alameda,9747,2645.716410273375,152654,9,49494,6,131272,198825,,,,,,
196,CA-503,California,sacramento,sacramento,9278,1942.88288571162,203413,13,49870,6,127455,235075,,,,,,
197,CA-504,California,sonoma,sonoma,2893,2349.7243110470604,43661,9,13511,5,38619,65278,,,,,,
198,CA-504,California,petaluma,sonoma,2893,2349.7243110470604,43661,9,13511,5,38619,65278,,,,,,
199,CA-504,California,santarosa,ventura,2893,2657.8359905332404,73968,8,25229,6,82625,113615,,,,,,
200,CA-505,California,contracosta,contracosta,3093,2772.011165253176,100948,8,34702,6,82564,140633,,,,,,
201,CA-505,California,richmond,contracosta,3093,2772.011165253176,100948,8,34702,6,82564,140633,,,,,,
202,CA-506,California,sanbenito,sanbenito,2404,nan,5899,8,2325,7,6901,11037,,,,,,
203,CA-506,California,monterey,monterey,2404,2267.464985869916,50725,12,17556,8,75771,56912,,,,,,
204,CA-506,California,salinas,monterey,2404,2267.464985869916,50725,12,17556,8,75771,56912,,,,,,
205,CA-507,California,marin,marin,1121,3695.784348733828,19734,7,5890,4,12672,19589,,,,,,
206,CA-508,California,santacruz,santacruz,2299,2815.5176057642952,27132,10,9222,6,21102,28627,,,,,,
207,CA-508,California,watsonville,santacruz,2299,2815.5176057642952,27132,10,9222,6,21102,28627,,,,,,
208,CA-509,California,mendocino,mendocino,830,nan,14539,16,2318,6,8704,17147,,,,,,
209,CA-510,California,stanislaus,stanislaus,1857,1780.4356269201207,76921,14,20039,8,69960,104577,,,,,,
210,CA-510,California,modesto,stanislaus,1857,1780.4356269201207,76921,14,20039,8,69960,104577,,,,,,
211,CA-510,California,turlock,stanislaus,1857,1780.4356269201207,76921,14,20039,8,69960,104577,,,,,,
212,CA-511,California,sanjoaquin,sanjoaquin,2319,2233.396778390044,95382,12,28929,8,96216,140468,,,,,,
213,CA-511,California,stockton,sanjoaquin,2319,2233.396778390044,95382,12,28929,8,96216,140468,,,,,,
214,CA-512,California,sanmateo,sanmateo,1808,3073.034512877968,49900,6,20069,4,50652,82159,,,,,,
215,CA-512,California,daly,sanmateo,1808,3073.034512877968,49900,6,20069,4,50652,82159,,,,,,
216,CA-513,California,tulare,tulare,1235,1335.8127673701497,88367,18,21337,10,76249,73748,,,,,,
217,CA-513,California,kings,kings,1235,nan,24295,17,5375,9,24856,24622,,,,,,
218,CA-513,California,visalia,tulare,1235,1335.8127673701497,88367,18,21337,10,76249,73748,,,,,,
219,CA-514,California,madera,madera,4216,nan,31044,20,5474,8,27789,22929,,,,,,
220,CA-514,California,fresno,fresno,4216,1569.896624973742,193449,19,40637,9,136835,140532,,,,,,
221,CA-515,California,placer,placer,750,2295.490829433212,26816,6,9622,5,14584,49539,,,,,,
222,CA-515,California,rocklin,placer,750,2295.490829433212,26816,6,9622,5,14584,49539,,,,,,
223,CA-515,California,roseville,placer,750,2295.490829433212,26816,6,9622,5,14584,49539,,,,,,
224,CA-516,California,sierra,sierra,1837,none,398,12,80,6,130,681,,,,,,
225,CA-516,California,modoc,modoc,1837,none,1688,19,230,7,955,2136,,,,,,
226,CA-516,California,delnorte,delnorte,1837,none,5368,21,710,7,3825,6101,,,,,,
227,CA-516,California,plumas,plumas,1837,none,2545,13,705,9,820,4108,,,,,,
228,CA-516,California,lassen,lassen,1837,none,4805,18,557,6,4853,7891,,,,,,
229,CA-516,California,redding,shasta,1837,1280.6041742392288,25141,14,5043,6,11492,33218,,,,,,
230,CA-517,California,napa,napa,495,2712.923625000783,11814,9,4161,6,14541,17698,,,,,,
231,CA-518,California,solano,solano,1179,2191.265588036346,44037,10,14885,7,34837,74274,,,,,,
232,CA-518,California,vallejo,solano,1179,2191.265588036346,44037,10,14885,7,34837,74274,,,,,,
233,CA-519,California,butte,butte,1006,1416.811229873234,33874,16,6360,6,13734,31704,,,,,,
234,CA-519,California,paradise,butte,1006,1416.811229873234,33874,16,6360,6,13734,31704,,,,,,
235,CA-519,California,chico,butte,1006,1416.811229873234,33874,16,6360,6,13734,31704,,,,,,
236,CA-520,California,merced,merced,855,1808.2788133929448,61359,21,11896,10,49054,43880,,,,,,
237,CA-521,California,yolo,yolo,746,2115.171160522228,30708,14,6331,5,15832,22654,,,,,,
238,CA-521,California,woodland,yolo,746,2115.171160522228,30708,14,6331,5,15832,22654,,,,,,
239,CA-521,California,davis,yolo,746,2115.171160522228,30708,14,6331,5,15832,22654,,,,,,
240,CA-522,California,humboldt,humboldt,1648,nan,25781,19,3713,6,8451,21654,,,,,,
241,CA-523,California,trinity,trinity,340,none,3010,19,289,6,764,4800,,,,,,
242,CA-523,California,colusa,colusa,340,none,2466,11,1338,12,3719,4246,,,,,,
243,CA-524,California,sutter,sutter,1094,nan,15224,15,4059,8,13202,15907,,,,,,
244,CA-524,California,yuba,yuba,1094,nan,12784,15,2611,8,9568,11785,,,,,,
245,CA-525,California,eldorado,eldorado,511,2211.885624642425,16839,8,5326,5,7421,28993,,,,,,
246,CA-526,California,tuolumne,tuolumne,625,nan,6848,13,1460,7,3344,10658,,,,,,
247,CA-526,California,mariposa,mariposa,625,none,2387,14,558,7,1233,3028,,,,,,
248,CA-526,California,calaveras,calaveras,625,none,6198,13,1249,5,3214,10815,,,,,,
249,CA-526,California,amador,amador,625,nan,4104,11,1007,7,2757,9724,,,,,,
250,CA-527,California,tehama,tehama,291,nan,10107,15,1844,7,6389,13014,,,,,,
251,CA-529,California,lake,lake,339,nan,11196,16,2170,7,6548,14601,,,,,,
252,CA-530,California,mono,mono,140,none,1278,9,568,6,1214,2124,,,,,,
253,CA-530,California,inyo,inyo,140,none,2382,12,492,6,1088,4188,,,,,,
254,CA-530,California,alpine,alpine,140,none,194,15,42,8,61,249,,,,,,
255,CA-531,California,nevada,nevada,527,nan,12141,11,2677,5,3827,14963,,,,,,
256,CA-600,California,losangeles,losangeles,65111,2458.354399687414,1365808,14,445871,8,1381447,1411475,,,,,,
257,CA-601,California,sandiego,sandiego,8427,2493.6141203217467,340522,10,100289,6,263063,409660,,,,,,
258,CA-602,California,orange,orange,5718,2525.049030095332,309402,9,93355,6,294180,378888,,,,,,
259,CA-602,California,anaheim,orange,5718,2525.049030095332,309402,9,93355,6,294180,378888,,,,,,
260,CA-602,California,santaana,orange,5718,2525.049030095332,309402,9,93355,6,294180,378888,,,,,,
261,CA-603,California,santabarbara,santabarbara,1962,2753.016085604874,65029,15,12707,5,50274,47957,,,,,,
262,CA-603,California,santamaria,santabarbara,1962,2753.016085604874,65029,15,12707,5,50274,47957,,,,,,
263,CA-604,California,kern,kern,1603,1415.4351092867423,164169,18,38280,9,132826,152266,,,,,,
264,CA-604,California,bakersfield,kern,1603,1415.4351092867423,164169,18,38280,9,132826,152266,,,,,,
